Year,Metro_Daily_Ridership_Lakhs,Metro_Annual_Ridership_Crore,Vehicle_Registrations_Lakhs,Metro_Stations_Operational,Avg_Daily_Trips_Total_Lakhs,Public_Transport_Share_Hyd_Percent,Fuel_Price_Rs_per_L
2017,0.67,0.24,18.5,24,80.0,28.5,73.0
2018,1.26,0.46,20.2,24,82.0,29.2,75.0
2019,2.76,1.01,21.8,57,85.0,30.8,80.0
2020,0.65,0.24,16.5,57,60.0,26.5,91.0
2021,1.2,0.44,19.2,57,72.0,28.0,95.0
2022,3.55,1.3,22.5,57,88.0,31.5,105.0
2023,4.62,1.69,25.0,57,95.0,33.2,102.0
2024,5.47,2.0,27.5,57,102.0,35.0,104.0
